net,length_um
_1873_,39.64
_2823_,39.6
_2037_,39.32
_2869_,38.96
_2356_,38.8
_2578_,38.74
_2647_,38.72
_2885_,38.66
_1093_,38.58
_2796_,38.49
RF.registers\[24\]\[27\],38.42
_2553_,37.98
_2792_,37.9
_1650_,37.86
_2583_,37.82
_2493_,37.34
_1032_,37.125
_1116_,37
_1414_,37
_2753_,36.88
_1832_,36.78
_2733_,36.7
RF.registers\[26\]\[12\],36.64
RF.registers\[23\]\[1\],36.58
_2250_,36.52
_2740_,36.3
_2112_,36.28
_1946_,36.26
RF.registers\[24\]\[1\],36.04
_2605_,35.955
_2154_,35.92
_2532_,35.78
_1387_,35.7
_2861_,35.66
_2477_,35.56
_2601_,35.56
RF.registers\[26\]\[11\],35.47
_3005_,35.14
_2871_,34.84
_3091_,34.4
_2698_,34.36
RF.registers\[14\]\[11\],34.31
_1418_,34.24
RF.registers\[5\]\[2\],34.16
_2551_,34.12
_1757_,34.08
_2354_,33.9
RF.registers\[22\]\[12\],33.81
_2488_,33.72
RF.registers\[22\]\[14\],33.71
_2023_,33.68
_1600_,33.34
RF.registers\[11\]\[6\],33.32
_1945_,33.3
clknet_leaf_60_CLK,33.3
_2570_,33.26
net2,33.13
_1637_,33.1
_3411_,33.1
_1164_,32.99
_2261_,32.76
_2781_,32.72
_1428_,32.68
_2016_,32.66
_1997_,32.64
RF.registers\[30\]\[20\],32.55
_1628_,32.48
_3020_,32.4
RF.registers\[17\]\[4\],32.18
RF.registers\[5\]\[27\],32.18
_1341_,32.12
_1102_,32.08
_1814_,32.02
_2355_,31.96
RF.registers\[18\]\[8\],31.915
RF.registers\[8\]\[24\],31.9
_2443_,31.76
_3021_,31.76
_2725_,31.68
RF.registers\[15\]\[6\],31.58
_1372_,31.58
RF.registers\[3\]\[15\],31.52
RF.registers\[26\]\[2\],31.495
_2329_,31.46
RF.registers\[7\]\[11\],31.4
_1571_,31.29
RF.registers\[23\]\[10\],31.2
RF.registers\[27\]\[23\],31.18
_2445_,31.14
_1436_,31.1
_1789_,31.1
RF.registers\[31\]\[28\],31.04
_1227_,30.94
RF.registers\[13\]\[20\],30.92
_3193_,30.88
RF.registers\[19\]\[1\],30.7
RF.registers\[4\]\[3\],30.7
RF.registers\[2\]\[30\],30.695
RF.registers\[5\]\[22\],30.68
_2069_,30.62
_2946_,30.56
_1652_,30.5
RF.registers\[30\]\[30\],30.46
_1885_,30.38
RF.registers\[24\]\[8\],30.36
_2715_,30.32
_2181_,30.3
RF.registers\[17\]\[8\],30.24
RF.registers\[8\]\[22\],30.24
_1285_,30.24
_1385_,30.24
RF.registers\[11\]\[31\],30.22
_2598_,30.2
RF.registers\[8\]\[2\],30.09
RF.registers\[8\]\[17\],30.08
RF.registers\[14\]\[22\],29.97
RF.registers\[31\]\[11\],29.94
_1142_,29.88
_1524_,29.86
_2915_,29.74
RF.registers\[31\]\[12\],29.68
RF.registers\[0\]\[26\],29.64
_1658_,29.6
_2961_,29.6
RF.registers\[11\]\[7\],29.5
_2314_,29.48
RF.registers\[21\]\[10\],29.42
_2485_,29.36
RF.registers\[23\]\[22\],29.26
_1542_,29.24
RF.registers\[7\]\[2\],29.23
_2223_,29.18
_2950_,29.04
_2585_,28.98
_2567_,28.9
RF.registers\[21\]\[8\],28.88
_1552_,28.88
RF.registers\[19\]\[10\],28.87
RF.registers\[11\]\[12\],28.86
_1792_,28.86
_2098_,28.86
net1,28.86
RF.registers\[18\]\[10\],28.77
_2340_,28.77
RF.registers\[12\]\[7\],28.76
RF.registers\[15\]\[17\],28.72
_2527_,28.68
RF.registers\[5\]\[0\],28.62
_2704_,28.58
_1788_,28.52
RF.registers\[13\]\[1\],28.48
_2364_,28.44
RF.registers\[11\]\[30\],28.42
_1081_,28.4
_2121_,28.32
_2456_,28.28
RF.registers\[30\]\[15\],28.23
_2903_,28.18
RF.registers\[14\]\[12\],28.135
_1987_,28.04
_1743_,27.98
RF.registers\[5\]\[21\],27.94
_1827_,27.92
_2814_,27.82
_2821_,27.82
RF.registers\[21\]\[29\],27.8
RF.registers\[10\]\[3\],27.75
RF.registers\[18\]\[20\],27.73
RF.registers\[17\]\[21\],27.56
RF.registers\[4\]\[20\],27.54
_2649_,27.52
RF.registers\[10\]\[31\],27.47
RF.registers\[31\]\[15\],27.44
_1695_,27.44
_1886_,27.42
RF.registers\[31\]\[9\],27.36
